editor,avg_ficta_factor,num_pieces
María Elena Cuenca Rodriguez,0.03385708917903607,3
Sabine Cassola,0.0274273176083379,1
Kévin Roger,0.0238595862959264,15
Andrea Puentes-Blanco,0.02280417231298796,5
Marco Gurrieri,0.020947576238295757,19
María Elena Cuenca Rodríguez,0.01829675606409103,20
Vincent Besson,0.01787354709732256,112
Franz Körndle,0.014937766079240447,23
Pyrros Bachimas,0.01469837277761197,18
Jessie Ann Owens,0.01344187610634974,5
Christina Cassia,0.01180981084093795,10
Michael Winter,0.00796258772444996,5
David Fiala,0.00788795791642935,2
Brian Russell,0.0077519379844961,1
Pothárn Imre,0.0076923076923076,1
Maxime Popineau,0.007169942956784285,7
Andrea Puentes,0.006568223287189261,5
Brian Marble,0.005576053265360433,6
Yoav Belinsky,0.0033030553261767,1
Marie Breillat,0.0015901557359951667,6
